W_WP1	W_WP2	W_WP3	W_WP4	W_WP5	W_WP6	W_WP7	W_WP8	time
0.0034579672684615856	0.0034579672684615812	0.0034579672684615743	0.0034579672684615856	0.07755843031790453	0.0	0.0	0.0637265612440582	76860
0.003457967268461585	0.0034579672684615786	0.00345796726846159	0.00345796726846159	0.07755843031790453	0.0	0.0	0.06372656124405819	77400
0.003457967268461585	0.0034579672684615786	0.00345796726846159	0.00345796726846159	0.07755843031790453	0.0	0.0	0.06372656124405819	78000
0.003457967268461585	0.0034579672684615786	0.00345796726846159	0.00345796726846159	0.07755843031790453	0.0	0.0	0.06372656124405819	78600
0.003118630042382008	0.003118630042382	0.0031186300423820127	0.0031186300423820127	0.07619669556653777	0.0	0.0	0.06372217539700975	79200
0.003118630042382008	0.003118630042382	0.0031186300423820127	0.0031186300423820127	0.07619669556653777	0.0	0.0	0.06372217539700975	79800
0.003118630042382008	0.003118630042382	0.0031186300423820127	0.0031186300423820127	0.07619669556653777	0.0	0.0	0.06372217539700975	80400
0.003118630042382008	0.003118630042382	0.0031186300423820127	0.0031186300423820127	0.07619669556653777	0.0	0.0	0.06372217539700975	81000
0.003118630042382008	0.003118630042382	0.0031186300423820127	0.0031186300423820127	0.07619669556653777	0.0	0.0	0.06372217539700975	81600
0.003118630042382008	0.003118630042382	0.0031186300423820127	0.0031186300423820127	0.07619669556653777	0.0	0.0	0.06372217539700975	82200
0.002758974110238503	0.00275897411023849	0.0027589741102385084	0.0027589741102385084	0.07475430033895387	0.0	0.0	0.06371840389799986	82800
0.002758974110238503	0.00275897411023849	0.0027589741102385084	0.0027589741102385084	0.07475430033895387	0.0	0.0	0.06371840389799986	83400
0.002758974110238503	0.00275897411023849	0.0027589741102385084	0.0027589741102385084	0.07475430033895387	0.0	0.0	0.06371840389799986	84000
0.002758974110238503	0.00275897411023849	0.0027589741102385084	0.0027589741102385084	0.07475430033895387	0.0	0.0	0.06371840389799986	84600
0.002758974110238503	0.00275897411023849	0.0027589741102385084	0.0027589741102385084	0.07475430033895387	0.0	0.0	0.06371840389799986	85200
0.002758974110238503	0.00275897411023849	0.0027589741102385084	0.0027589741102385084	0.07475430033895387	0.0	0.0	0.06371840389799986	85800
0.0025793049150267485	0.0025793049150267338	0.002579304915026754	0.002579304915026754	0.07403404161500247	0.0	0.0	0.06371682195489549	86400
0.0025793049150267485	0.0025793049150267338	0.002579304915026754	0.002579304915026754	0.07403404161500247	0.0	0.0	0.06371682195489549	87000
0.0025793049150267485	0.0025793049150267338	0.002579304915026754	0.002579304915026754	0.07403404161500247	0.0	0.0	0.06371682195489549	87600
0.0025793049150267485	0.0025793049150267338	0.002579304915026754	0.002579304915026754	0.07403404161500247	0.0	0.0	0.06371682195489549	88200
0.0025793049150267485	0.0025793049150267338	0.002579304915026754	0.002579304915026754	0.07403404161500247	0.0	0.0	0.06371682195489549	88800
0.0025793049150267485	0.0025793049150267338	0.002579304915026754	0.002579304915026754	0.07403404161500247	0.0	0.0	0.06371682195489549	89400
0.0025793049150267485	0.0025793049150267338	0.002579304915026754	0.002579304915026754	0.07403404161500247	0.0	0.0	0.06371682195489549	89580
0.0025793049150646704	0.0025793049150646436	0.00257930491506468	0.00257930491506468	0.07403404161515512	0.0	0.0	0.06371682195489645	89700
0.0025793049150647377	0.0025793049150647108	0.0025793049150647468	0.0025793049150647468	0.07403404161515542	0.0	0.0	0.06371682195489647	89820
0.002579304915064407	0.002579304915064443	0.002579304915064443	0.0025793049150644345	0.07403404161515416	0.0	0.0	0.06371682195489645	90000
0.002579304915064407	0.002579304915064443	0.002579304915064443	0.0025793049150644345	0.07403404161515416	0.0	0.0	0.06371682195489645	90060
0.0026123162495897785	0.0026123162495897525	0.002612316249589787	0.002612316249589787	0.07416636351570419	0.0	0.0	0.0637170985173451	90180
0.002612316249436696	0.0026123162494366705	0.0026123162494367047	0.0026123162494367047	0.07416636351509052	0.0	0.0	0.06371709851734375	90300
0.0026123162494376575	0.0026123162494376575	0.0026123162494376484	0.0026123162494376224	0.0741663635150945	0.0	0.0	0.0637170985173439	90600
0.0022356825245652572	0.0022356825245652572	0.0022356825245740783	0.0022356825245599607	0.07265702333069289	0.0	0.0	0.06371429323242835	91140
0.0022340730991095383	0.0022340730991095383	0.002234073099109541	0.0022340730991095383	0.07265057519606029	0.0	0.0	0.06371428279962213	91200
0.002217995885942057	0.002217995885942057	0.0022179958859420597	0.002217995885942057	0.07258616291729464	0.0	0.0	0.06371417937352641	91800
0.0022019474842545615	0.0022019474842545615	0.002201947484254564	0.0022019474842545615	0.07252186731854436	0.0	0.0	0.06371407738152611	92400
0.0021859291085827123	0.0021859291085827123	0.002185929108582715	0.0021859291085827123	0.07245769324339202	0.0	0.0	0.06371397680906117	93000
0.0021858911791811366	0.0021858911791811366	0.0021858911791811392	0.0021858911791811366	0.07245754129517747	0.0	0.0	0.06371397657845292	93600
0.002170510694569122	0.002170510694569122	0.0021705106945691245	0.002170510694569122	0.07239592393317368	0.0	0.0	0.06371388115489719	94200
0.0021566931714234443	0.0021566931714234443	0.002156693171423447	0.0021566931714234443	0.07234056907027794	0.0	0.0	0.06371379638458417	94740
0.002155159315080136	0.002155159315080136	0.002155159315080138	0.002155159315080136	0.0723344242954799	0.0	0.0	0.06371378703515936	94800
0.0021536259087253143	0.0021536259087253143	0.0021536259087253165	0.0021536259087253143	0.07232828132337173	0.0	0.0	0.06371377768847047	94860
0.0021505598362368855	0.002150559836236888	0.0021505598362368855	0.0021505598362368855	0.07231599838853817	0.0	0.0	0.06371375904359061	94980
0.0021398375510019003	0.0021398375510019003	0.002139837551001903	0.0021398375510019003	0.07227304438990044	0.0	0.0	0.06371369418589284	95400
0.0021245437144855267	0.0021245437144855267	0.0021245437144855293	0.0021245437144855267	0.07221177745726257	0.0	0.0	0.06371360259932045	96000
0.0021092678046981225	0.0021092678046981225	0.002109267804698125	0.0021092678046981225	0.07215058341615091	0.0	0.0	0.06371351219735842	96600
0.002138856621094973	0.002138856621094973	0.0021388566210949755	0.002138856621094973	0.07226911476891648	0.0	0.0	0.0637136882845366	97200
0.0021253905683606264	0.0021253905683606264	0.0021253905683606294	0.0021253905683606264	0.07221516991704348	0.0	0.0	0.06371360764360097	97800
0.002111950110806275	0.002111950110806275	0.0021119501108062782	0.002111950110806275	0.07216132843794362	0.0	0.0	0.06371352799471854	98400
0.002098530166305057	0.002098530166305057	0.00209853016630506	0.002098530166305057	0.0721075699592033	0.0	0.0	0.06371344929398307	99000
0.0020851360735013686	0.0020851360735013686	0.0020851360735013717	0.0020851360735013686	0.07205391585717708	0.0	0.0	0.06371337156317161	99600
0.0020717696743256992	0.0020717696743256992	0.0020717696743257023	0.0020717696743256992	0.07200037350018113	0.0	0.0	0.06371329480287834	100200
0.0021499389591579034	0.0021499389591579034	0.002149938959157906	0.0021499389591579034	0.07231351111548474	0.0	0.0	0.06371375527885312	100800
0.0021408611132183756	0.0021408611132183756	0.0021408611132183782	0.0021408611132183756	0.07227714481059201	0.0	0.0	0.0637137003577185	101400
